0	24	100	50	0	50	50	0	0
1	4	6900	18240	1	53	1	11040	18240
2	2	0	7320	5	39	86	120	7320
3	2	15360	26520	7	80	84	19320	26520
4	6	4140	17700	9	91	47	10500	17700
5	1	2700	16260	15	93	19	9060	16260
6	5	1080	12420	16	70	25	5220	12420
7	4	6960	20100	21	98	34	12900	20100
8	3	14340	28320	25	7	44	21120	28320
9	2	600	12960	28	32	25	5760	12960
10	2	5700	18480	30	44	24	11280	18480
11	1	7680	18720	32	30	65	11520	18720
12	3	7440	18900	33	80	83	11700	18900
13	1	1740	12720	36	67	94	5520	12720
14	3	0	13260	37	51	78	6060	13260
15	1	11880	25500	40	97	7	18300	25500
16	1	1920	15480	41	40	22	8280	15480
17	3	0	11400	42	78	4	4200	11400
18	1	0	10440	45	77	59	3240	10440
19	2	10860	23280	46	97	21	16080	23280
20	3	14400	26400	48	28	48	19200	26400
21	1	1080	14100	51	82	99	6900	14100
22	1	16260	28800	52	27	42	21600	28800
23	3	11700	25680	53	32	19	18480	25680
24	3	13920	24960	56	54	2	17760	24960
25	1	3960	16920	59	35	58	9720	16920
26	1	3840	16020	60	15	40	8820	16020
27	1	4560	16380	61	2	87	9180	16380
28	1	0	7260	62	16	25	60	7260
29	4	0	10020	63	9	77	2820	10020
30	3	4200	17280	67	11	54	10080	17280
31	4	5040	17400	70	54	25	10200	17400
32	13	8160	20520	74	82	13	13320	20520
33	3	0	7980	87	26	67	780	7980
34	3	6000	18420	90	59	36	11220	18420
35	1	13560	25260	93	2	98	18060	25260
36	1	5520	18660	94	32	84	11460	18660
37	1	15780	28200	95	55	59	21000	28200
38	6	7080	18900	96	48	57	11700	18900
39	1	0	7500	102	3	6	300	7500
40	1	0	8520	103	67	56	1320	8520
41	5	15780	28560	104	70	30	21360	28560
42	3	6120	18060	109	52	1	10860	18060
43	1	0	10440	112	99	51	3240	10440
44	4	0	12000	113	77	43	4800	12000
45	4	0	8640	117	76	29	1440	8640
46	1	8700	21000	121	29	58	13800	21000
47	2	10140	22140	122	21	37	14940	22140
48	2	9960	21000	124	75	60	13800	21000
49	1	9840	21060	126	91	30	13860	21060
50	2	0	11700	127	86	38	4500	11700
51	4	0	12300	129	54	64	5100	12300
52	1	2820	14700	133	85	36	7500	14700
53	4	0	9360	134	92	85	2160	9360
54	3	6660	18840	138	1	93	11640	18840
55	4	360	12900	141	66	48	5700	12900
56	2	14520	25800	145	6	51	18600	25800
57	1	0	9120	147	29	96	1920	9120
58	5	0	7440	148	16	56	240	7440
59	3	11100	23280	153	100	43	16080	23280
60	3	5940	18840	156	27	70	11640	18840
61	1	16320	28560	159	94	1	21360	28560
62	1	960	13200	160	81	89	6000	13200
63	1	1800	13560	161	24	86	6360	13560
64	1	9000	21840	162	10	9	14640	21840
65	2	2220	15420	163	57	64	8220	15420
66	2	1020	15300	165	73	40	8100	15300
67	1	15060	27300	167	53	44	20100	27300
68	3	2820	14460	168	32	91	7260	14460
69	1	12480	25860	171	63	90	18660	25860
70	8	13920	28320	172	68	25	21120	28320
