0	24	100	100	0	50	50	0	0
1	1	4740	14400	1	93	99	7200	14400
2	2	960	9360	2	75	28	2160	9360
3	1	2400	9900	4	92	92	2700	9900
4	2	10200	18840	5	72	63	11640	18840
5	1	2100	9300	7	24	14	2100	9300
6	5	14160	24000	8	64	73	16800	24000
7	1	13200	22980	13	50	21	15780	22980
8	2	1260	10380	14	15	25	3180	10380
9	1	10980	21540	16	34	87	14340	21540
10	3	120	9900	17	60	83	2700	9900
11	5	2700	12300	20	31	43	5100	12300
12	2	8460	16440	25	61	39	9240	16440
13	1	19740	28560	27	71	43	21360	28560
14	1	11880	21300	28	72	45	14100	21300
15	1	8940	19380	29	9	31	12180	19380
16	14	15180	25740	30	93	58	18540	25740
17	1	3240	11220	44	64	27	4020	11220
18	2	14460	22320	45	76	22	15120	22320
19	1	10260	17880	47	38	92	10680	17880
20	1	2700	11160	48	0	79	3960	11160
21	3	1740	10260	49	28	90	3060	10260
22	1	3600	13740	52	38	63	6540	13740
23	1	2760	13380	53	28	14	6180	13380
24	2	15000	23460	54	44	50	16260	23460
25	8	7740	16380	56	28	89	9180	16380
26	1	16560	26220	64	9	18	19020	26220
27	1	19080	28620	65	2	23	21420	28620
28	1	540	9360	66	78	99	2160	9360
29	3	16500	26940	67	11	8	19740	26940
30	2	1020	9060	70	88	70	1860	9060
31	2	4140	11460	72	96	58	4260	11460
32	2	12420	21840	74	40	67	14640	21840
33	1	17040	26280	76	92	78	19080	26280
34	1	9480	18180	77	34	73	10980	18180
35	1	3720	12660	78	38	48	5460	12660
36	5	20520	28740	79	0	57	21540	28740
37	1	11640	22080	84	13	21	14880	22080
38	1	3180	12360	85	51	14	5160	12360
39	12	6000	14460	86	80	13	7260	14460
40	1	3360	10980	98	76	97	3780	10980
41	1	11100	20700	99	55	98	13500	20700
42	3	300	9000	100	30	75	1800	9000
43	4	10680	20880	103	96	67	13680	20880
44	4	0	8340	107	7	13	1140	8340
45	2	8220	15720	111	19	78	8520	15720
46	4	5400	13860	113	61	15	6660	13860
47	3	16140	25860	117	42	46	18660	25860
48	3	0	8040	120	89	14	840	8040
