InstanceId,Replication,NbPickers,NbAisles,StorageLocationAssignmentPolicy,BatchCapacity,Due time,NbOrders,UBILS,Cpu(s),NbBatchesInSol,UBCGH,LBRootAfterCuts,RootGap(%),NbColumns,SizePool,NbIterLP(roundsOfCuts),NbIterMasterPricing,NbIterFindInPool,InitialUBPool,LBBeforeCuts,NbMTcuts,NbFSLcuts,NbR1cuts,NbSCcuts,TimePricing(s),TimePdyn(s),TimeMaster(s),TimeHeuristic(s),TimeInitTours(s),TimeMIP(s),TimeCuts(s),timeInitPool(s)
7.0,1.0,4.0,12.0,1.0,15.0,1.0,100.0,360314.0,3360.6,52.0,359348.0,359274.57,0.02,6386.0,4271.0,7.0,73.0,53.0,363932.0,358898.19,0.0,0.0,100.0,230.0,2546.54,53.58,0.75,17.15,5.22,19.3,71.74,600.83
8.0,1.0,3.0,12.0,1.0,15.0,2.0,100.0,308226.0,7931.04,45.0,307070.0,306950.25,0.04,13367.0,8359.0,6.0,99.0,91.0,311090.0,306594.4,0.0,0.0,94.0,157.0,7068.02,58.96,1.18,29.13,5.52,15.71,52.09,600.36
9.0,1.0,4.0,12.0,1.0,15.0,3.0,100.0,337286.0,4005.71,48.0,332952.0,332919.0,0.01,7325.0,5502.0,4.0,74.0,65.0,339436.0,332843.44,0.0,0.0,50.0,266.0,3232.19,50.22,0.5,19.86,5.41,23.17,27.79,600.11
34.0,1.0,3.0,12.0,2.0,15.0,1.0,100.0,285768.0,3447.67,46.0,281688.0,281604.34,0.03,6031.0,5824.0,7.0,86.0,93.0,287048.0,281480.31,0.0,0.0,81.0,247.0,2688.83,50.61,0.64,19.02,4.35,12.66,59.47,600.89
35.0,1.0,3.0,12.0,2.0,15.0,2.0,100.0,279886.0,1128.5,46.0,278818.0,278818.0,0.0,5104.0,5389.0,2.0,38.0,63.0,284104.0,278802.33,0.0,0.0,20.0,277.0,449.02,25.29,0.14,10.95,4.55,8.72,5.38,600.15
36.0,1.0,4.0,12.0,2.0,15.0,3.0,100.0,265444.0,2990.31,44.0,264568.0,264507.19,0.02,8500.0,7733.0,13.0,79.0,108.0,267648.0,264157.67,0.0,0.0,240.0,324.0,2160.69,46.64,1.97,19.65,4.16,30.8,86.04,600.38
61.0,1.0,3.0,12.0,3.0,15.0,1.0,100.0,292240.0,10064.01,46.0,290648.0,290602.0,0.02,12935.0,6693.0,5.0,124.0,80.0,294220.0,290555.0,0.0,0.0,68.0,0.0,9237.21,70.79,0.47,32.57,4.93,2.43,34.75,600.14
62.0,1.0,4.0,12.0,3.0,15.0,2.0,100.0,337164.0,1433.5,52.0,336990.0,336986.67,0.0,4253.0,5022.0,3.0,37.0,46.0,341150.0,336830.86,0.0,0.0,18.0,271.0,733.07,34.16,0.22,9.73,5.11,10.06,20.89,600.41
63.0,1.0,4.0,12.0,3.0,15.0,3.0,100.0,294490.0,8205.39,46.0,290808.0,290772.36,0.01,9669.0,6924.0,5.0,120.0,90.0,296764.0,290572.29,0.0,0.0,66.0,235.0,7381.12,66.19,0.75,29.08,5.23,23.09,42.61,600.83
88.0,1.0,5.0,24.0,1.0,15.0,1.0,100.0,510786.0,14408.41,47.0,504552.0,502313.33,0.45,11182.0,4676.0,1.0,111.0,52.0,515290.0,502313.33,0.0,0.0,0.0,0.0,13473.69,142.0,0.34,45.46,10.32,7.64,0.0,601.24
89.0,1.0,5.0,24.0,1.0,15.0,2.0,100.0,453518.0,14403.57,43.0,448960.0,445792.6,0.71,9645.0,6328.0,1.0,120.0,109.0,461216.0,445792.6,0.0,0.0,0.0,0.0,13519.83,156.63,0.39,64.8,10.86,2.96,0.0,600.11
90.0,1.0,6.0,24.0,1.0,15.0,3.0,100.0,533726.0,14423.11,50.0,531584.0,510238.67,4.18,9818.0,4680.0,1.0,91.0,72.0,541818.0,510238.67,0.0,0.0,0.0,0.0,13545.7,142.86,0.3,46.22,11.19,11.32,0.0,600.45
