//alpha
1
//NbLocations
36
//NbProducts
17
//NbPickers
2
//CapaPicker
8
//TimeToTravelOneDistanceUnit
3
//SetupTime
5400
//PickTime
300
//Products
//Idx Location Size
1 1 1
2 2 1
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 1
10 10 1
11 11 1
12 12 1
13 13 1
14 14 1
15 15 1
16 16 1
17 17 1
//Orders
//NbOrders
6
//Idx DueDate TardinessPenalty NbProdInOrder ProdIdx1 Qty1 ProdIdx2 Qty2 ...
1 144000 0 5 1 1 2 1 3 1 4 1 5 1
2 144000 0 5 6 1 7 1 8 1 9 1 10 1
3 108000 0 1 11 1
4 90000 0 1 12 1
5 126000 0 4 13 1 14 1 15 1 16 1
6 90000 0 1 17 1
//Graph (Products are vertices indexed from 1 to NbProducts)
//NbVerticesIntersections
18
//DepartingDepot
0
//ArrivalDepot
36
//Arcs
//Start End Distance
0 18 120
1 18 284
1 19 167
2 11 52
2 23 128
3 16 78
3 27 206
4 8 117
4 26 37
5 8 169
5 25 128
6 16 26
6 28 141
7 24 50
7 25 401
8 4 117
8 5 169
9 17 13
9 22 271
10 31 206
10 32 245
11 2 52
11 22 271
12 15 13
12 31 102
13 34 258
13 35 193
14 28 414
14 29 37
15 12 13
15 30 336
16 3 78
16 6 26
17 9 13
17 21 167
18 1 284
18 21 48
18 36 120
19 1 167
19 20 451
19 22 48
20 19 451
20 23 48
21 17 167
21 18 48
21 24 48
22 9 271
22 11 271
22 19 48
22 25 48
23 2 128
23 20 48
23 26 48
24 7 50
24 21 48
24 27 48
25 5 128
25 7 401
25 22 48
25 28 48
26 4 37
26 23 48
26 29 48
27 3 206
27 24 48
27 30 48
28 6 141
28 14 414
28 25 48
28 31 48
29 14 37
29 26 48
29 32 48
30 15 336
30 27 48
30 33 48
31 10 206
31 12 102
31 28 48
31 34 48
32 10 245
32 29 48
32 35 48
33 30 48
33 34 451
34 13 258
34 31 48
34 33 451
35 13 193
35 32 48
//LocStart LocEnd ShortestPath
0 0 0
0 1 404
0 2 942
0 3 470
0 4 1081
0 5 795
0 6 574
0 7 266
0 8 964
0 9 348
0 10 969
0 11 890
0 12 661
0 13 1069
0 14 1129
0 15 648
0 16 548
0 17 335
0 18 120
0 19 571
0 20 1022
0 21 168
0 22 619
0 23 1070
0 24 216
0 25 667
0 26 1118
0 27 264
0 28 715
0 29 1166
0 30 312
0 31 763
0 32 1214
0 33 360
0 34 811
0 35 1262
0 36 0
1 0 404
1 1 0
1 2 538
1 3 556
1 4 677
1 5 391
1 6 452
1 7 430
1 8 560
1 9 486
1 10 565
1 11 486
1 12 461
1 13 665
1 14 725
1 15 474
1 16 478
1 17 499
1 18 284
1 19 167
1 20 618
1 21 332
1 22 215
1 23 666
1 24 380
1 25 263
1 26 714
1 27 428
1 28 311
1 29 762
1 30 476
1 31 359
1 32 810
1 33 524
1 34 407
1 35 858
1 36 404
2 0 942
2 1 538
2 2 0
2 3 664
2 4 213
2 5 499
2 6 560
2 7 772
2 8 330
2 9 594
2 10 517
2 11 52
2 12 569
2 13 513
2 14 261
2 15 582
2 16 586
2 17 607
2 18 822
2 19 371
2 20 176
2 21 774
2 22 323
2 23 128
2 24 822
2 25 371
2 26 176
2 27 870
2 28 419
2 29 224
2 30 918
2 31 467
2 32 272
2 33 966
2 34 515
2 35 320
2 36 942
3 0 470
3 1 556
3 2 664
3 3 0
3 4 707
3 5 421
3 6 104
3 7 304
3 8 590
3 9 482
3 10 499
3 11 612
3 12 395
3 13 599
3 14 659
3 15 408
3 16 78
3 17 469
3 18 350
3 19 389
3 20 840
3 21 302
3 22 341
3 23 792
3 24 254
3 25 293
3 26 744
3 27 206
3 28 245
3 29 696
3 30 254
3 31 293
3 32 744
3 33 302
3 34 341
3 35 792
3 36 470
4 0 1081
4 1 677
4 2 213
4 3 707
4 4 0
4 5 286
4 6 603
4 7 815
4 8 117
4 9 733
4 10 378
4 11 265
4 12 612
4 13 374
4 14 122
4 15 625
4 16 629
4 17 746
4 18 961
4 19 510
4 20 133
4 21 913
4 22 462
4 23 85
4 24 865
4 25 414
4 26 37
4 27 913
4 28 462
4 29 85
4 30 961
4 31 510
4 32 133
4 33 1009
4 34 558
4 35 181
4 36 1081
5 0 795
5 1 391
5 2 499
5 3 421
5 4 286
5 5 0
5 6 317
5 7 529
5 8 169
5 9 447
5 10 430
5 11 447
5 12 326
5 13 530
5 14 408
5 15 339
5 16 343
5 17 460
5 18 675
5 19 224
5 20 419
5 21 627
5 22 176
5 23 371
5 24 579
5 25 128
5 26 323
5 27 627
5 28 176
5 29 371
5 30 675
5 31 224
5 32 419
5 33 723
5 34 272
5 35 467
5 36 795
6 0 574
6 1 452
6 2 560
6 3 104
6 4 603
6 5 317
6 6 0
6 7 408
6 8 486
6 9 508
6 10 395
