//alpha
1
//NbLocations
37
//NbProducts
18
//NbPickers
2
//CapaPicker
4
//TimeToTravelOneDistanceUnit
3
//SetupTime
5400
//PickTime
300
//Products
//Idx Location Size
1 1 1
2 2 1
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 1
10 10 1
11 11 1
12 12 1
13 13 1
14 14 1
15 15 1
16 16 1
17 17 1
18 18 1
//Orders
//NbOrders
6
//Idx DueDate TardinessPenalty NbProdInOrder ProdIdx1 Qty1 ProdIdx2 Qty2 ...
1 54000 0 4 1 1 2 1 3 1 4 1
2 90000 0 1 5 1
3 54000 0 4 6 1 7 1 8 1 9 1
4 108000 0 2 10 1 11 1
5 72000 0 4 12 1 13 1 14 1 15 1
6 126000 0 3 16 1 17 1 18 1
//Graph (Products are vertices indexed from 1 to NbProducts)
//NbVerticesIntersections
18
//DepartingDepot
0
//ArrivalDepot
37
//Arcs
//Start End Distance
0 19 120
1 13 13
1 16 0
2 28 206
2 29 245
3 6 130
3 18 26
4 22 245
4 23 206
5 6 78
5 20 50
6 3 130
6 5 78
7 9 13
7 14 117
8 10 13
8 11 65
9 7 13
9 19 63
10 8 13
10 14 78
11 8 65
11 13 26
12 18 52
12 21 115
13 1 13
13 11 26
14 7 117
14 10 78
15 32 63
15 33 388
16 1 0
16 20 63
17 26 310
17 27 141
18 3 26
18 12 52
19 9 63
19 22 48
19 37 120
20 5 50
20 16 63
20 23 48
21 12 115
21 24 48
22 4 245
22 19 48
22 25 48
23 4 206
23 20 48
23 24 451
23 26 48
24 21 48
24 23 451
24 27 48
25 22 48
25 26 451
25 28 48
26 17 310
26 23 48
26 25 451
26 29 48
27 17 141
27 24 48
27 30 48
28 2 206
28 25 48
28 31 48
29 2 245
29 26 48
29 30 451
29 32 48
30 27 48
30 29 451
30 33 48
31 28 48
31 32 451
31 34 48
32 15 63
32 29 48
32 31 451
32 35 48
33 15 388
33 30 48
33 36 48
34 31 48
34 35 451
35 32 48
35 34 451
35 36 451
36 33 48
36 35 451
//LocStart LocEnd ShortestPath
0 0 0
0 1 508
0 2 470
0 3 829
0 4 413
0 5 621
0 6 699
0 7 196
0 8 404
0 9 183
0 10 391
0 11 469
0 12 907
0 13 495
0 14 313
0 15 826
0 16 508
0 17 977
0 18 855
0 19 120
0 20 571
0 21 1022
0 22 168
0 23 619
0 24 1070
0 25 216
0 26 667
0 27 1118
0 28 264
0 29 715
0 30 1166
0 31 312
0 32 763
0 33 1214
0 34 360
0 35 811
0 36 1262
0 37 0
1 0 508
1 1 0
1 2 452
1 3 321
1 4 317
1 5 113
1 6 191
1 7 312
1 8 104
1 9 325
1 10 117
1 11 39
1 12 399
1 13 13
1 14 195
1 15 318
1 16 0
1 17 469
1 18 347
1 19 388
1 20 63
1 21 514
1 22 436
1 23 111
1 24 562
1 25 484
1 26 159
1 27 610
1 28 532
1 29 207
1 30 658
1 31 580
1 32 255
1 33 706
1 34 628
1 35 303
1 36 754
1 37 508
2 0 470
2 1 452
2 2 0
2 3 647
2 4 547
2 5 439
2 6 517
2 7 426
2 8 556
2 9 413
2 10 569
2 11 491
2 12 725
2 13 465
2 14 543
2 15 356
2 16 452
2 17 603
2 18 673
2 19 350
2 20 389
2 21 840
2 22 302
2 23 341
2 24 792
2 25 254
2 26 293
2 27 744
2 28 206
2 29 245
2 30 696
2 31 254
2 32 293
2 33 744
2 34 302
2 35 341
2 36 792
2 37 470
3 0 829
3 1 321
3 2 647
3 3 0
3 4 512
3 5 208
3 6 130
3 7 633
3 8 425
3 9 646
3 10 438
3 11 360
3 12 78
3 13 334
3 14 516
3 15 513
3 16 321
3 17 430
3 18 26
3 19 709
3 20 258
3 21 193
3 22 757
3 23 306
3 24 241
3 25 805
3 26 354
3 27 289
3 28 853
3 29 402
3 30 337
3 31 901
3 32 450
3 33 385
3 34 949
3 35 498
3 36 433
3 37 829
4 0 413
4 1 317
4 2 547
4 3 512
4 4 0
4 5 304
4 6 382
4 7 369
4 8 421
4 9 356
4 10 434
4 11 356
4 12 590
4 13 330
4 14 486
4 15 413
4 16 317
4 17 564
4 18 538
4 19 293
4 20 254
4 21 705
4 22 245
4 23 206
4 24 657
4 25 293
4 26 254
4 27 705
4 28 341
4 29 302
4 30 753
4 31 389
4 32 350
4 33 801
4 34 437
4 35 398
4 36 849
4 37 413
5 0 621
5 1 113
5 2 439
5 3 208
5 4 304
5 5 0
5 6 78
5 7 425
5 8 217
5 9 438
5 10 230
5 11 152
5 12 286
5 13 126
5 14 308
5 15 305
5 16 113
5 17 456
5 18 234
5 19 501
5 20 50
5 21 401
5 22 549
5 23 98
5 24 449
5 25 597
5 26 146
5 27 497
5 28 645
5 29 194
5 30 545
5 31 693
5 32 242
5 33 593
5 34 741
5 35 290
5 36 641
5 37 621
6 0 699
6 1 191
