//alpha
1
//NbLocations
53
//NbProducts
16
//NbPickers
2
//CapaPicker
4
//TimeToTravelOneDistanceUnit
3
//SetupTime
5400
//PickTime
300
//Products
//Idx Location Size
1 1 1
2 2 1
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 1
10 10 1
11 11 1
12 12 1
13 13 1
14 14 1
15 15 1
16 16 1
//Orders
//NbOrders
6
//Idx DueDate TardinessPenalty NbProdInOrder ProdIdx1 Qty1 ProdIdx2 Qty2 ...
1 36000 0 2 1 1 2 1
2 90000 0 2 3 1 4 1
3 72000 0 2 5 1 6 1
4 108000 0 4 7 1 8 1 9 1 10 1
5 72000 0 4 11 1 12 1 13 1 14 1
6 72000 0 2 15 1 16 1
//Graph (Products are vertices indexed from 1 to NbProducts)
//NbVerticesIntersections
36
//DepartingDepot
0
//ArrivalDepot
53
//Arcs
//Start End Distance
0 17 120
1 4 312
1 18 128
2 9 117
2 27 128
3 13 39
3 16 182
4 1 312
4 6 91
5 16 117
5 21 349
6 4 91
6 19 310
7 50 466
7 51 375
8 12 143
8 15 13
9 2 117
9 26 596
10 24 557
10 25 284
11 42 401
11 43 440
12 8 143
12 34 154
13 3 39
13 20 154
14 29 232
14 30 609
15 8 13
15 33 531
16 3 182
16 5 117
17 18 841
17 20 48
17 53 120
18 1 128
18 17 841
18 21 48
19 6 310
19 22 48
20 13 154
20 17 48
20 23 48
21 5 349
21 18 48
21 22 841
21 24 48
22 19 48
22 21 841
22 25 48
23 20 48
23 24 841
23 26 48
24 10 557
24 21 48
24 23 841
24 27 48
25 10 284
25 22 48
25 28 48
26 9 596
26 23 48
26 29 48
27 2 128
27 24 48
27 28 841
27 30 48
28 25 48
28 27 841
28 31 48
29 14 232
29 26 48
29 32 48
30 14 609
30 27 48
30 31 841
30 33 48
31 28 48
31 30 841
31 34 48
32 29 48
32 33 841
32 35 48
33 15 531
33 30 48
33 32 841
33 36 48
34 12 154
34 31 48
34 37 48
35 32 48
35 36 841
35 38 48
36 33 48
36 35 841
36 37 841
36 39 48
37 34 48
37 36 841
37 40 48
38 35 48
38 39 841
38 41 48
39 36 48
39 38 841
39 40 841
39 42 48
40 37 48
40 39 841
40 43 48
41 38 48
41 42 841
41 44 48
42 11 401
42 39 48
42 41 841
42 45 48
43 11 440
43 40 48
43 46 48
44 41 48
44 45 841
44 47 48
45 42 48
45 44 841
45 46 841
45 48 48
46 43 48
46 45 841
46 49 48
47 44 48
47 48 841
47 50 48
48 45 48
48 47 841
48 49 841
48 51 48
49 46 48
49 48 841
49 52 48
50 7 466
50 47 48
51 7 375
51 48 48
51 52 841
52 49 48
52 51 841
//LocStart LocEnd ShortestPath
0 0 0
0 1 1089
0 2 977
0 3 361
0 4 1401
0 5 660
0 6 1492
0 7 1114
0 8 1745
0 9 860
0 10 1614
0 11 1746
0 12 1888
0 13 322
0 14 544
0 15 1732
0 16 543
0 17 120
0 18 961
0 19 1802
0 20 168
0 21 1009
0 22 1850
0 23 216
0 24 1057
0 25 1898
0 26 264
0 27 1105
0 28 1946
0 29 312
0 30 1153
0 31 1994
0 32 360
0 33 1201
0 34 2042
0 35 408
0 36 1249
0 37 2090
0 38 456
0 39 1297
0 40 2138
0 41 504
0 42 1345
0 43 2186
0 44 552
0 45 1393
0 46 2234
0 47 600
0 48 1441
0 49 2282
0 50 648
0 51 1489
0 52 2330
0 53 0
1 0 1089
1 1 0
1 2 400
1 3 824
1 4 312
1 5 525
1 6 403
1 7 1031
1 8 912
1 9 517
1 10 781
1 11 913
1 12 1055
1 13 863
1 14 929
1 15 899
1 16 642
1 17 969
1 18 128
1 19 713
1 20 1017
1 21 176
1 22 761
1 23 1065
1 24 224
1 25 809
1 26 1113
1 27 272
1 28 857
1 29 1161
1 30 320
1 31 905
1 32 1209
1 33 368
1 34 953
1 35 1257
1 36 416
1 37 1001
1 38 1305
1 39 464
1 40 1049
1 41 1353
1 42 512
1 43 1097
1 44 1401
1 45 560
1 46 1145
1 47 1449
1 48 608
1 49 1193
1 50 1497
1 51 656
1 52 1241
1 53 1089
2 0 977
2 1 400
2 2 0
2 3 872
2 4 712
2 5 573
2 6 803
2 7 887
2 8 768
2 9 117
2 10 733
2 11 769
2 12 911
2 13 911
2 14 785
2 15 755
2 16 690
2 17 857
2 18 272
2 19 1113
2 20 809
2 21 224
2 22 1065
2 23 761
2 24 176
2 25 1017
2 26 713
2 27 128
2 28 969
2 29 761
2 30 176
2 31 1017
2 32 809
2 33 224
2 34 1065
2 35 857
2 36 272
2 37 1113
2 38 905
2 39 320
2 40 1161
2 41 953
2 42 368
2 43 1209
2 44 1001
2 45 416
2 46 1257
2 47 1049
2 48 464
2 49 1305
2 50 1097
2 51 512
2 52 1353
2 53 977
3 0 361
3 1 824
3 2 872
3 3 0
3 4 1136
