//alpha
1
//NbLocations
53
//NbProducts
34
//NbPickers
2
//CapaPicker
12
//TimeToTravelOneDistanceUnit
3
//SetupTime
5400
//PickTime
300
//Products
//Idx Location Size
1 1 1
2 2 1
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 1
10 10 1
11 11 1
12 12 1
13 13 1
14 14 1
15 15 1
16 16 1
17 17 1
18 18 1
19 19 1
20 20 1
21 21 1
22 22 1
23 23 1
24 24 1
25 25 1
26 26 1
27 27 1
28 28 1
29 29 1
30 30 1
31 31 1
32 32 1
33 33 1
34 34 1
//Orders
//NbOrders
6
//Idx DueDate TardinessPenalty NbProdInOrder ProdIdx1 Qty1 ProdIdx2 Qty2 ...
1 126000 0 9 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1
2 126000 0 1 10 1
3 90000 0 1 11 1
4 90000 0 8 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1
5 72000 0 3 20 1 21 1 22 1
6 72000 0 12 23 1 24 1 25 1 26 1 27 1 28 1 29 1 30 1 31 1 32 1 33 1 34 1
//Graph (Products are vertices indexed from 1 to NbProducts)
//NbVerticesIntersections
18
//DepartingDepot
0
//ArrivalDepot
53
//Arcs
//Start End Distance
0 35 120
1 12 104
1 22 52
2 24 78
2 39 63
3 41 206
3 42 245
4 11 39
4 18 13
5 14 13
5 34 52
6 9 0
6 15 130
7 14 91
7 45 258
8 17 104
8 30 26
9 6 0
9 21 26
10 12 78
10 36 180
11 4 39
11 45 37
12 1 104
12 10 78
13 32 143
13 51 232
14 5 13
14 7 91
15 6 130
15 48 232
16 17 117
16 27 0
17 8 104
17 16 117
18 4 13
18 46 362
19 25 52
19 43 245
20 29 26
20 31 13
21 9 26
21 47 63
22 1 52
22 35 37
23 36 63
23 37 388
24 2 78
24 26 78
25 19 52
25 33 78
26 24 78
26 40 232
27 16 0
27 52 128
28 32 0
28 50 76
29 20 26
29 38 37
30 8 26
30 51 76
31 20 13
31 39 375
32 13 143
32 28 0
33 25 78
33 42 76
34 5 52
34 44 37
35 22 37
35 38 48
35 53 120
36 10 180
36 23 63
36 39 48
37 23 388
37 40 48
38 29 37
38 35 48
38 41 48
39 2 63
39 31 375
39 36 48
39 42 48
40 26 232
40 37 48
40 43 48
41 3 206
41 38 48
41 44 48
42 3 245
42 33 76
42 39 48
42 45 48
43 19 245
43 40 48
43 46 48
44 34 37
44 41 48
44 47 48
45 7 258
45 11 37
45 42 48
45 48 48
46 18 362
46 43 48
46 49 48
47 21 63
47 44 48
47 50 48
48 15 232
48 45 48
48 49 451
48 51 48
49 46 48
49 48 451
49 52 48
50 28 76
50 47 48
51 13 232
51 30 76
51 48 48
52 27 128
52 49 48
//LocStart LocEnd ShortestPath
0 0 0
0 1 209
0 2 682
0 3 422
0 4 791
0 5 353
0 6 401
0 7 457
0 8 913
0 9 401
0 10 391
0 11 752
0 12 313
0 13 579
0 14 366
0 15 531
0 16 1134
0 17 1017
0 18 804
0 19 873
0 20 231
0 21 375
0 22 157
0 23 634
0 24 760
0 25 821
0 26 838
0 27 1134
0 28 436
0 29 205
0 30 887
0 31 244
0 32 436
0 33 743
0 34 301
0 35 120
0 36 571
0 37 1022
0 38 168
0 39 619
0 40 1070
0 41 216
0 42 667
0 43 1118
0 44 264
0 45 715
0 46 1166
0 47 312
0 48 763
0 49 1214
0 50 360
0 51 811
0 52 1262
0 53 0
1 0 209
1 1 0
1 2 473
1 3 391
1 4 582
1 5 322
1 6 370
1 7 426
1 8 704
1 9 370
1 10 182
1 11 543
1 12 104
1 13 548
1 14 335
1 15 500
1 16 925
1 17 808
1 18 595
1 19 664
1 20 200
1 21 344
1 22 52
1 23 425
1 24 551
1 25 612
1 26 629
1 27 925
1 28 405
1 29 174
1 30 678
1 31 213
1 32 405
1 33 534
1 34 270
1 35 89
1 36 362
1 37 813
1 38 137
1 39 410
1 40 861
1 41 185
1 42 458
1 43 909
1 44 233
1 45 506
1 46 957
1 47 281
1 48 554
1 49 1005
1 50 329
1 51 602
1 52 1053
1 53 209
2 0 682
2 1 473
2 2 0
2 3 356
2 4 235
2 5 521
2 6 569
2 7 417
2 8 357
2 9 569
2 10 291
2 11 196
2 12 369
2 13 487
2 14 508
2 15 439
2 16 578
2 17 461
2 18 248
2 19 317
2 20 451
2 21 595
2 22 525
2 23 174
2 24 78
2 25 265
2 26 156
2 27 578
2 28 630
2 29 477
2 30 331
2 31 438
2 32 630
2 33 187
2 34 573
2 35 562
2 36 111
2 37 436
2 38 514
2 39 63
2 40 388
2 41 562
2 42 111
2 43 436
2 44 610
2 45 159
2 46 484
2 47 658
2 48 207
2 49 532
2 50 706
2 51 255
2 52 580
2 53 682
3 0 422
3 1 391
3 2 356
3 3 0
3 4 369
3 5 343
3 6 391
3 7 447
3 8 491
