//alpha
1
//NbLocations
395
//NbProducts
895
//NbPickers
3
//CapaPicker
30
//TimeToTravelOneDistanceUnit
1
//SetupTime
1800
//PickTime
100
//Products
//Idx Location Size
1 1 1
2 2 1
3 3 1
4 4 1
5 5 1
6 6 1
7 3 1
8 7 1
9 8 1
10 9 1
11 10 1
12 11 1
13 12 1
14 13 1
15 14 1
16 15 1
17 16 1
18 17 1
19 18 1
20 19 1
21 20 1
22 21 1
23 22 1
24 23 1
25 24 1
26 25 1
27 26 1
28 27 1
29 28 1
30 29 1
31 30 1
32 31 1
33 32 1
34 33 1
35 34 1
36 35 1
37 36 1
38 21 1
39 37 1
40 38 1
41 14 1
42 39 1
43 20 1
44 40 1
45 41 1
46 42 1
47 43 1
48 44 1
49 45 1
50 46 1
51 47 1
52 48 1
53 46 1
54 9 1
55 49 1
56 50 1
57 45 1
58 51 1
59 52 1
60 53 1
61 54 1
62 6 1
63 55 1
64 56 1
65 57 1
66 58 1
67 59 1
68 60 1
69 37 1
70 61 1
71 62 1
72 63 1
73 64 1
74 65 1
75 66 1
76 67 1
77 68 1
78 69 1
79 21 1
80 70 1
81 71 1
82 72 1
83 73 1
84 74 1
85 24 1
86 75 1
87 76 1
88 77 1
89 20 1
90 11 1
91 60 1
92 78 1
93 54 1
94 28 1
95 79 1
96 80 1
97 41 1
98 53 1
99 81 1
100 82 1
101 83 1
102 84 1
103 85 1
104 86 1
105 87 1
106 88 1
107 89 1
108 25 1
109 49 1
110 90 1
111 91 1
112 79 1
113 92 1
114 65 1
115 93 1
116 94 1
117 95 1
118 96 1
119 66 1
120 24 1
121 97 1
122 98 1
123 99 1
124 100 1
125 101 1
126 95 1
127 102 1
128 103 1
129 104 1
130 92 1
131 105 1
132 106 1
133 74 1
134 107 1
135 108 1
136 109 1
137 110 1
138 111 1
139 112 1
140 83 1
141 28 1
142 113 1
143 102 1
144 114 1
145 115 1
146 15 1
147 116 1
148 77 1
149 117 1
150 5 1
151 118 1
152 119 1
153 4 1
154 82 1
155 64 1
156 120 1
157 121 1
158 122 1
159 15 1
160 123 1
161 124 1
162 125 1
163 126 1
164 127 1
165 31 1
166 11 1
167 110 1
168 128 1
169 78 1
170 10 1
171 129 1
172 130 1
173 102 1
174 25 1
175 131 1
176 132 1
177 89 1
178 133 1
179 134 1
180 39 1
181 135 1
182 136 1
183 137 1
184 138 1
185 139 1
186 31 1
187 77 1
188 140 1
189 141 1
190 142 1
191 143 1
192 81 1
193 133 1
194 144 1
195 145 1
196 146 1
197 30 1
198 147 1
199 148 1
200 137 1
201 149 1
202 150 1
203 19 1
204 151 1
205 152 1
206 153 1
207 1 1
208 154 1
209 53 1
210 155 1
211 43 1
212 156 1
213 157 1
214 158 1
215 159 1
216 69 1
217 21 1
218 160 1
219 161 1
220 162 1
221 163 1
222 164 1
223 132 1
224 165 1
225 20 1
226 166 1
227 52 1
228 17 1
229 52 1
230 18 1
231 88 1
232 122 1
233 8 1
234 29 1
235 167 1
236 101 1
237 168 1
238 138 1
239 20 1
240 169 1
241 170 1
242 171 1
243 172 1
244 56 1
245 173 1
246 49 1
247 54 1
248 174 1
249 175 1
250 152 1
251 42 1
252 176 1
253 177 1
254 178 1
255 179 1
256 180 1
257 181 1
258 149 1
259 78 1
260 46 1
261 182 1
262 183 1
263 184 1
264 185 1
265 94 1
266 186 1
267 78 1
268 8 1
269 29 1
270 187 1
271 69 1
272 31 1
273 188 1
274 189 1
275 116 1
276 190 1
277 113 1
278 191 1
279 39 1
280 192 1
281 78 1
282 164 1
283 183 1
284 193 1
285 107 1
286 194 1
287 153 1
288 85 1
289 195 1
290 196 1
291 197 1
292 24 1
293 116 1
294 49 1
295 46 1
296 149 1
297 151 1
298 198 1
299 199 1
300 94 1
301 149 1
302 200 1
303 117 1
304 85 1
305 140 1
306 201 1
307 202 1
308 126 1
309 203 1
310 92 1
311 122 1
312 204 1
313 163 1
314 205 1
315 55 1
316 56 1
317 206 1
318 122 1
319 207 1
320 208 1
321 209 1
322 210 1
323 151 1
324 77 1
325 153 1
326 211 1
327 205 1
328 188 1
329 212 1
330 79 1
331 48 1
332 213 1
333 214 1
334 215 1
335 189 1
336 216 1
337 168 1
338 193 1
339 42 1
340 15 1
341 217 1
342 218 1
343 219 1
344 220 1
345 113 1
346 221 1
347 222 1
348 223 1
349 224 1
350 71 1
351 225 1
352 108 1
353 226 1
354 227 1
355 228 1
356 229 1
357 96 1
358 81 1
359 230 1
360 33 1
361 80 1
362 9 1
363 217 1
364 147 1
365 231 1
366 45 1
367 232 1
368 162 1
369 128 1
370 166 1
371 233 1
372 234 1
373 57 1
374 153 1
375 18 1
376 35 1
377 235 1
378 4 1
379 236 1
380 212 1
381 209 1
382 96 1
383 88 1
384 237 1
385 238 1
386 46 1
387 119 1
388 239 1
389 240 1
